Name,Address,Rating,Website,Cuisine Types,Opening Hours
El Amigo Taqueria Food Truck,"3356 W 16th St, Indianapolis, IN 46222, USA",4.3,N/A,"restaurant, food, point_of_interest, establishment","Monday: 12:00 PM – 12:00 AM
Tuesday: 12:00 PM – 12:00 AM
Wednesday: 12:00 PM – 12:00 AM
Thursday: 12:00 PM – 12:00 AM
Friday: 12:00 PM – 12:00 AM
Saturday: 12:00 PM – 12:00 AM
Sunday: 12:00 PM – 12:00 AM"
ClusterTruck,"729 N Pennsylvania St, Indianapolis, IN 46204, USA",4.8,https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,"meal_delivery, restaurant, food, point_of_interest, establishment","Monday: 8:00 AM – 10:00 PM
Tuesday: 8:00 AM – 10:00 PM
Wednesday: 8:00 AM – 10:00 PM
Thursday: 8:00 AM – 10:00 PM
Friday: 8:00 AM – 11:00 PM
Saturday: 10:00 AM – 11:00 PM
Sunday: 10:00 AM – 9:00 PM"
FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222, USA",4.5,N/A,"restaurant, food, point_of_interest, establishment","Monday: 5:00 PM – 12:00 AM
Tuesday: 5:00 PM – 12:00 AM
Wednesday: 5:00 PM – 12:00 AM
Thursday: 5:00 PM – 12:00 AM
Friday: 5:00 PM – 2:00 AM
Saturday: 5:00 PM – 2:00 AM
Sunday: 5:00 PM – 12:00 AM"
3 Marias Mex Food Truck,"3205 E Washington St, Indianapolis, IN 46201, USA",N/A,N/A,"restaurant, food, point_of_interest, establishment","Monday: 6:00 – 10:00 PM
Tuesday: 6:00 – 10:00 PM
Wednesday: 6:00 – 10:00 PM
Thursday: 6:00 – 10:00 PM
Friday: Closed
Saturday: 6:00 – 10:00 PM
Sunday: Closed"
Tha Corn Man,"2442 Central Ave, Indianapolis, IN 46205, USA",3.8,https://tha-corn-man.ueniweb.com/?utm_campaign=gmb,"meal_takeaway, restaurant, food, point_of_interest, establishment","Monday: 3:00 – 9:00 PM
Tuesday: 3:00 – 9:00 PM
Wednesday: 3:00 – 9:00 PM
Thursday: 3:00 – 9:00 PM
Friday: 3:00 – 9:00 PM
Saturday: 3:00 – 9:00 PM
Sunday: 3:00 – 9:00 PM"
Tortas Guicho Food Truck,"S. East St and, Fletcher Ave, Indianapolis, IN 46204, USA",4.5,N/A,"restaurant, food, point_of_interest, establishment","Monday: 8:00 AM – 2:00 PM
Tuesday: 8:00 AM – 2:00 PM
Wednesday: 8:00 AM – 2:00 PM
Thursday: 8:00 AM – 2:00 PM
Friday: 8:00 AM – 2:00 PM
Saturday: Closed
Sunday: Closed"
Taqueria Mi Costa,"1430 W Washington St, Indianapolis, IN 46222, USA",4.3,https://taqueria-mi-costa.business.site/,"restaurant, food, point_of_interest, establishment","Monday: Closed
Tuesday: 11:00 AM – 11:00 PM
Wednesday: 11:00 AM – 11:00 PM
Thursday: 11:00 AM – 11:00 PM
Friday: 11:00 AM – 11:00 PM
Saturday: 11:00 AM – 11:00 PM
Sunday: 12:00 – 11:00 PM"
T'Days Jerk,"36 E Troy Ave, Indianapolis, IN 46225, USA",4.4,http://tdaysjerk.com/,"meal_takeaway, restaurant, food, point_of_interest, establishment",
Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, USA",4.4,http://www.facebook.com/El-Volkan-Mexican-Restaurant-346354408845765/,"restaurant, food, point_of_interest, establishment","Monday: 5:00 – 10:55 PM
Tuesday: 5:00 – 10:55 PM
Wednesday: 5:00 – 10:55 PM
Thursday: 11:00 AM – 10:55 PM
Friday: 11:00 AM – 11:50 PM
Saturday: 11:00 AM – 11:50 PM
Sunday: 5:00 – 10:55 PM"
Dogs to Go by Uncle Zo,"3376 W 10th St and, N Tibbs Ave, Indianapolis, IN 46222, USA",4.3,https://www.facebook.com/pages/category/Hot-Dog-Joint/Dogs-to-go-by-uncle-zo-891773400966722/,"restaurant, food, point_of_interest, establishment","Monday: Closed
Tuesday: 10:00 AM – 5:00 PM
Wednesday: 10:00 AM – 5:00 PM
Thursday: 10:00 AM – 5:00 PM
Friday: 10:00 AM – 5:00 PM
Saturday: 10:00 AM – 5:00 PM
Sunday: Closed"
The Grub House,"1953 N College Ave, Indianapolis, IN 46202, USA",4.1,http://grubhouseindy.com/,"cafe, restaurant, food, point_of_interest, establishment","Monday: Closed
Tuesday: Closed
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: Closed"
Pi Indy,"1125 E Brookside Ave, Indianapolis, IN 46202, USA",5,http://eatbetterpizza.com/,"meal_takeaway, restaurant, food, point_of_interest, establishment",
Everythang & Potatoes,"2442 Central Ave, Indianapolis, IN 46205, USA",5,N/A,"restaurant, food, point_of_interest, establishment","Monday: Closed
Tuesday: Closed
Wednesday: 7:00 – 11:00 PM
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed"
Tacos y tortas arroyo,"2120 W Morris St, Indianapolis, IN 46221, USA",5,http://ordertacosytortasarroyo.com/,"restaurant, food, point_of_interest, establishment","Monday: Closed
Tuesday: 6:00 – 11:40 PM
Wednesday: 6:00 – 11:40 PM
Thursday: 6:00 PM – 12:00 AM
Friday: 6:00 PM – 12:00 AM
Saturday: 6:00 PM – 12:00 AM
Sunday: 6:00 – 11:00 PM"
Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",4.7,https://www.express.gauchosfire.com/,"restaurant, food, point_of_interest, establishment","Monday: 10:00 AM – 9:00 PM
Tuesday: 10:00 AM – 9:00 PM
Wednesday: 10:00 AM – 9:00 PM
Thursday: 10:00 AM – 9:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 9:00 PM"
